epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.684,1.79448,2.49232,0.00497,0.77685,0.27702,0.28095,0.16631,1.34835,1.82846,0.00581,0.00992424,0.00330808,0.00992424,0.00330808,0.0768434,0.0702273,0.00992424,0.00330808
2,75.9675,1.73664,1.65346,0.00458,0.30636,0.31694,0.32784,0.17515,1.48694,1.58692,0.00632,0.0197927,0.00659758,0.0197927,0.00659758,0.0533786,0.0401834,0.0197927,0.00659758
3,107.624,1.73159,1.49493,0.00479,0.55758,0.43326,0.43958,0.2479,1.46902,1.33168,0.0061,0.0295292,0.00984308,0.0295292,0.00984308,0.0297818,0.0100956,0.0295292,0.00984308
4,138.283,1.73404,1.35418,0.00469,0.65112,0.53293,0.6029,0.34708,1.37735,1.12189,0.0058,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,168.417,1.65268,1.24837,0.00441,0.60413,0.57744,0.62279,0.35469,1.36459,1.04572,0.00578,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,198.87,1.66037,1.14893,0.0044,0.63757,0.64798,0.68294,0.39253,1.39144,0.91866,0.00598,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,229.334,1.64379,1.10326,0.00446,0.67197,0.66343,0.71388,0.41779,1.35713,0.90096,0.00594,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,260.067,1.62384,1.06313,0.00425,0.7105,0.67791,0.74283,0.4303,1.3857,0.83202,0.0059,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,290.887,1.58674,0.97392,0.00411,0.72044,0.70097,0.76952,0.45985,1.31414,0.75862,0.00551,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,321.477,1.56628,0.92458,0.00415,0.7226,0.70883,0.757,0.40443,1.52298,0.78467,0.0064,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,351.453,1.58393,0.89139,0.00392,0.74304,0.74221,0.80035,0.47207,1.31027,0.71827,0.0057,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,382.036,1.55752,0.86263,0.00404,0.77684,0.7476,0.83091,0.49413,1.31338,0.66611,0.00557,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,412.289,1.54597,0.8231,0.00405,0.8234,0.7547,0.84416,0.50319,1.32487,0.63378,0.0055,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,442.677,1.54706,0.83041,0.004,0.82246,0.7663,0.85606,0.53186,1.23718,0.60592,0.00518,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,473.348,1.51422,0.7977,0.00399,0.84636,0.76172,0.8703,0.53439,1.24538,0.58299,0.00536,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,503.747,1.49312,0.77559,0.00392,0.85169,0.78361,0.87959,0.52894,1.31388,0.59298,0.00559,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,534.53,1.48734,0.75571,0.00389,0.83933,0.79666,0.8807,0.53349,1.25646,0.57145,0.00511,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,564.917,1.47548,0.73749,0.00394,0.85644,0.8021,0.89128,0.54325,1.28044,0.56241,0.00535,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,595.651,1.50175,0.72973,0.00387,0.88512,0.8263,0.90851,0.57323,1.18326,0.52208,0.00489,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,625.847,1.48939,0.72127,0.00381,0.86666,0.83179,0.90828,0.54872,1.29738,0.53485,0.00538,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,656.363,1.46959,0.71669,0.00393,0.87236,0.81662,0.90623,0.58222,1.16868,0.50903,0.00482,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,686.408,1.47509,0.6948,0.00376,0.87883,0.81981,0.90967,0.57377,1.2173,0.50802,0.00517,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,717.028,1.45124,0.67856,0.00372,0.87916,0.83463,0.91665,0.57777,1.20719,0.50425,0.00498,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
